                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.47325,                0.29853,                 1.0449,                 0.9636,                0.98524,                0.96966,                0.86543,                0.49903,                0.31407,                0.95922,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.4592,                0.28269,                  1.039,                0.96263,                0.98609,                0.96884,                0.86227,                 0.5008,                0.32098,                0.95777,               0.000218,               0.000218,               0.000218
                     92,                 0.4563,                0.27313,                  1.032,                0.96264,                0.98645,                0.96918,                0.86606,                0.49125,                 0.3102,                0.94812,              0.0001982,              0.0001982,              0.0001982
                     93,                0.44779,                0.27305,                 1.0263,                0.96268,                0.98752,                0.96976,                0.87051,                0.48143,                0.30748,                0.93817,              0.0001784,              0.0001784,              0.0001784
                     94,                0.44129,                0.26877,                 1.0268,                0.95982,                0.99154,                0.97078,                0.87247,                   0.48,                0.30578,                0.94409,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44409,                0.26901,                 1.0185,                 0.9602,                0.99033,                0.97182,                0.87536,                0.46999,                0.30093,                 0.9311,              0.0001388,              0.0001388,              0.0001388
                     96,                0.43155,                0.26482,                 1.0188,                0.96236,                0.98847,                0.97206,                0.87954,                0.46576,                0.30113,                0.93106,               0.000119,               0.000119,               0.000119
                     97,                0.43547,                0.26574,                 1.0196,                0.95946,                0.99348,                0.97021,                0.87732,                0.46689,                 0.2997,                0.93214,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.43603,                0.26413,                 1.0153,                0.96112,                0.99205,                0.97042,                0.87268,                0.46524,                0.30062,                0.93138,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.42671,                0.26159,                 1.0164,                0.95899,                 0.9923,                0.97287,                0.87899,                0.46272,                0.29766,                0.93265,               5.96e-05,               5.96e-05,               5.96e-05
